,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,286,Dcover Jcover-fuzz,time(Seconds):,1881,Jcover test verification on,time(Seconds):,304
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,WithEdgeMetadataOptimizedEdgePool,,,,0,11,1.0,0,11,1.0,11,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,OptimizedEdgePool,,,,0,9,1.0,0,9,1.0,9,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,OptimizedEdgeRandomIterator,,,,2,7,0.7777777777777778,2,7,0.7777777777777778,9,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,OptimizedEdgeIterator,,,,0,12,1.0,0,12,1.0,12,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,PowerLawDegreeEdgeIterator,,,,31,11,0.2619047619047619,31,11,0.2619047619047619,42,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,WithEdgeMetadataOptimizedEdgePool.WithEdgeMetadataReaderAccessibleInfo,n/a,n/a,Could not find file,0,8,1.0,0,8,1.0,8,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,RecyclePoolMemory,,,,4,7,0.6363636363636364,4,7,0.6363636363636364,11,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,WithEdgeMetadataRegularDegreeEdgePool,,,,2,21,0.9130434782608695,2,21,0.9130434782608695,23,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,WithEdgeMetadataRegularDegreeEdgePool.WithEdgeMetadataReaderAccessibleInfo,n/a,n/a,Could not find file,0,8,1.0,0,8,1.0,8,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,PowerLawDegreeEdgePool,,,,24,17,0.4146341463414634,24,17,0.4146341463414634,41,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,AbstractRegularDegreeEdgePool,,,,19,30,0.6122448979591837,19,30,0.6122448979591837,49,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,AbstractPowerLawDegreeEdgePool.ReaderAccessibleInfo,n/a,n/a,Could not find file,0,8,1.0,0,8,1.0,8,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,RegularDegreeEdgePool,,,,1,21,0.9545454545454546,1,21,0.9545454545454546,22,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,RegularDegreeEdgeRandomIterator,,,,2,7,0.7777777777777778,2,7,0.7777777777777778,9,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,PowerLawDegreeEdgeRandomIterator,,,,9,4,0.3076923076923077,9,4,0.3076923076923077,13,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite.edgepool,AbstractOptimizedEdgePool,,,,10,24,0.7058823529411765,10,24,0.7058823529411765,34,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,NodeMetadataSocialProofResult,,,,17,0,0.0,17,0,0.0,4,13,0.7647058823529411
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,SocialProofRequest,,,,0,7,1.0,0,7,1.0,0,7,1.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,TweetSocialProofGenerator,,,,0,4,1.0,0,4,1.0,4,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,NodeMetadataSocialProofGenerator,,,,72,10,0.12195121951219512,72,10,0.12195121951219512,82,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,NodeMetadataSocialProofRequest,,,,7,0,0.0,7,0,0.0,0,7,1.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,MomentSocialProofGenerator,,,,0,4,1.0,0,4,1.0,4,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,SocialProofResponse,,,,0,2,1.0,0,2,1.0,0,2,1.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,SocialProofGenerator,,,,74,6,0.075,74,6,0.075,80,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.socialproof,SocialProofResult,,,,15,0,0.0,15,0,0.0,2,13,0.8666666666666667
GraphJet Core,com.twitter.graphjet.math,AliasTableUtil,,,,55,0,0.0,55,0,0.0,53,2,0.03636363636363636
GraphJet Core,com.twitter.graphjet.math,IntArrayAliasTable,,,,10,8,0.4444444444444444,10,8,0.4444444444444444,9,9,0.5
